,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,ITUB3.SA,PETR4.SA,^BVSP,ITUB3.SA,PETR4.SA,^BVSP,ITUB3.SA,PETR4.SA,^BVSP,ITUB3.SA,PETR4.SA,^BVSP,ITUB3.SA,PETR4.SA,^BVSP,ITUB3.SA,PETR4.SA,^BVSP
Date,,,,,,,,,,,,,,,,,,
2022-01-03,17.706390380859375,13.173102378845215,103922.0,19.3799991607666,29.09000015258789,103922.0,19.68000030517578,29.219999313354492,106125.0,19.040000915527344,28.530000686645508,103413.0,19.290000915527344,28.540000915527344,104823.0,1289800,52704700,11128500
2022-01-04,18.09925651550293,13.222912788391113,103514.0,19.809999465942383,29.200000762939453,103514.0,19.850000381469727,29.399999618530273,104276.0,19.350000381469727,28.90999984741211,103096.0,19.350000381469727,29.15999984741211,103922.0,984800,51739200,11491600
2022-01-05,17.733802795410156,12.711204528808594,101006.0,19.40999984741211,28.06999969482422,101006.0,19.90999984741211,29.270000457763672,103514.0,19.3799991607666,27.940000534057617,100850.0,19.780000686645508,29.190000534057617,103514.0,868800,78459800,0
2022-01-06,18.053577423095703,12.702146530151367,101561.0,19.760000228881836,28.049999237060547,101561.0,19.799999237060547,28.649999618530273,102235.0,19.350000381469727,27.84000015258789,101000.0,19.709999084472656,28.290000915527344,101006.0,1865700,61163100,11749200
2022-01-07,18.33680534362793,12.761017799377441,102719.0,20.06999969482422,28.18000030517578,102719.0,20.100000381469727,28.290000915527344,102719.0,19.459999084472656,27.81999969482422,101104.0,19.84000015258789,28.110000610351562,101561.0,985600,47507600,11733200
2022-01-10,18.437313079833984,12.68403434753418,101945.0,20.18000030517578,28.010000228881836,101945.0,20.229999542236328,28.239999771118164,102719.0,19.850000381469727,27.719999313354492,101038.0,20.06999969482422,27.989999771118164,102719.0,851600,37455200,10264700
2022-01-11,18.7022647857666,13.059891700744629,103779.0,20.469999313354492,28.84000015258789,103779.0,20.549999237060547,29.06999969482422,103780.0,20.1200008392334,27.850000381469727,101918.0,20.170000076293945,28.100000381469727,101946.0,1195800,73623800,12421500
2022-01-12,18.711400985717773,13.458391189575195,105686.0,20.479999542236328,29.719999313354492,105686.0,20.65999984741211,29.90999984741211,105869.0,20.209999084472656,28.950000762939453,103771.0,20.469999313354492,28.950000762939453,103779.0,999300,81378200,13026500
